,degs,clos,betw,eigen
entrez gene/locuslink:851000,0.1305,0.3343,0.0068,0.0218
entrez gene/locuslink:853537,0.0243,0.2963,0.0005,0.0039
entrez gene/locuslink:854357,0.0199,0.2788,0.0001,0.0015
entrez gene/locuslink:854918,0.0442,0.2869,0.0007,0.0048
entrez gene/locuslink:853334,0.1659,0.3478,0.0042,0.0691
entrez gene/locuslink:855710,0.0398,0.3244,0.001,0.0176
entrez gene/locuslink:856852,0.0442,0.3194,0.0008,0.0121
entrez gene/locuslink:856791,0.0133,0.2863,0.0,0.0035
entrez gene/locuslink:855900,0.031,0.3188,0.0002,0.0134
entrez gene/locuslink:853353,0.2102,0.3353,0.0092,0.024
entrez gene/locuslink:854537,0.0398,0.3118,0.001,0.0096
entrez gene/locuslink:851650,0.0066,0.2542,0.0,0.0006
entrez gene/locuslink:853997,0.0332,0.3173,0.0007,0.0145
entrez gene/locuslink:855897,0.1881,0.3284,0.0052,0.0245
entrez gene/locuslink:856591,0.0199,0.2907,0.0001,0.0049
entrez gene/locuslink:853986,0.073,0.2938,0.0018,0.0032
entrez gene/locuslink:853300,0.073,0.3191,0.0019,0.0148
entrez gene/locuslink:854816,0.0088,0.2426,0.0,0.0002
entrez gene/locuslink:853230,0.0044,0.2856,0.0001,0.004
entrez gene/locuslink:854497,0.0133,0.2525,0.0001,0.0005
entrez gene/locuslink:852399,0.0177,0.2728,0.0002,0.0015
entrez gene/locuslink:854190,0.0155,0.2836,0.0002,0.005
entrez gene/locuslink:851119,0.0066,0.2402,0.0,0.0003
entrez gene/locuslink:851811,0.1217,0.3189,0.0017,0.0169
entrez gene/locuslink:853922,0.1394,0.3437,0.0072,0.0357
entrez gene/locuslink:854150,0.0465,0.3095,0.0005,0.0108
entrez gene/locuslink:852683,0.0088,0.2766,0.0,0.0029
entrez gene/locuslink:854042,0.0288,0.2814,0.0004,0.0041
entrez gene/locuslink:853852,0.0044,0.2583,0.0,0.0007
entrez gene/locuslink:851701,0.0354,0.2806,0.0002,0.0041
entrez gene/locuslink:855366,0.0044,0.2577,0.0,0.0009
entrez gene/locuslink:855442,0.0133,0.2658,0.0,0.0016
entrez gene/locuslink:852728,0.0243,0.2838,0.0001,0.0041
entrez gene/locuslink:851562,0.0465,0.3259,0.0005,0.0263
entrez gene/locuslink:851910,0.0111,0.2643,0.0,0.0011
entrez gene/locuslink:850969,0.0243,0.3109,0.0004,0.0073
entrez gene/locuslink:853581,0.104,0.3095,0.0013,0.0146
entrez gene/locuslink:851033,0.0155,0.2899,0.0001,0.0076
entrez gene/locuslink:854245,0.0199,0.3099,0.0001,0.0153
entrez gene/locuslink:856478,0.1969,0.3302,0.0049,0.0405
entrez gene/locuslink:852145,0.0133,0.2828,0.0,0.0061
entrez gene/locuslink:850632,0.0088,0.2759,0.0,0.0023
entrez gene/locuslink:852686,0.0177,0.2819,0.0001,0.0024
entrez gene/locuslink:856868,0.0288,0.3135,0.0003,0.0162
entrez gene/locuslink:856927,0.0066,0.2626,0.0,0.0005
entrez gene/locuslink:852858,0.0111,0.2753,0.0001,0.0019
entrez gene/locuslink:854401,0.0177,0.294,0.0002,0.0037
entrez gene/locuslink:856017,0.0243,0.3008,0.0003,0.004
entrez gene/locuslink:852305,0.0531,0.2977,0.0005,0.0052
entrez gene/locuslink:855806,0.0155,0.29,0.0005,0.0047
entrez gene/locuslink:850303,0.0133,0.2741,0.0,0.0028
entrez gene/locuslink:851580,0.0044,0.252,0.0,0.0006
entrez gene/locuslink:856563,0.1062,0.3262,0.0015,0.0554
entrez gene/locuslink:853586,0.0066,0.2462,0.0004,0.0013
entrez gene/locuslink:855219,0.0177,0.3001,0.0001,0.0067
entrez gene/locuslink:851726,0.0133,0.2831,0.0001,0.0025
entrez gene/locuslink:851700,0.042,0.309,0.0005,0.012
entrez gene/locuslink:854072,0.0752,0.3303,0.0024,0.0199
entrez gene/locuslink:850298,0.0177,0.2689,0.0002,0.0021
entrez gene/locuslink:852931,0.2124,0.3404,0.0074,0.0386
entrez gene/locuslink:851396,0.0376,0.2967,0.0008,0.0054
entrez gene/locuslink:853758,0.042,0.3044,0.0006,0.0072
entrez gene/locuslink:856864,0.0265,0.316,0.0001,0.0191
entrez gene/locuslink:851893,0.0199,0.3033,0.0002,0.0086
entrez gene/locuslink:855619,0.0177,0.3015,0.0004,0.0074
entrez gene/locuslink:853652,0.0044,0.2402,0.0,0.0002
entrez gene/locuslink:853630,0.0199,0.2679,0.0002,0.0012
entrez gene/locuslink:853713,0.0177,0.3002,0.0003,0.0042
entrez gene/locuslink:852114,0.0111,0.257,0.0,0.0008
entrez gene/locuslink:852049,0.031,0.3267,0.0007,0.0235
entrez gene/locuslink:852255,0.1416,0.3168,0.0048,0.011
entrez gene/locuslink:856889,0.0774,0.3019,0.0014,0.0066
entrez gene/locuslink:851984,0.0465,0.2883,0.0009,0.0032
